代號,名稱,市場別,產業別,市值,市值佔大盤比重,ETF_0050_權重,ETF_0056_權重,ETF_00878_權重,ETF_00919_權重,主要業務,TSMC概念,nVidia概念,Broadcom概念,Google概念,Amazon概念,Meta概念,OpenAI概念,Microsoft概念,AMD概念,Apple概念,Oracle概念,Micron概念,SanDisk概念,Qualcomm概念,Lenovo概念,Dell概念,HPQ概念,HPE概念,Intel概念,ARM概念,相關集團,download_timestamp,process_timestamp
7703,銳澤,上櫃,其他電子業,75.74億,,,,,,高科技廠房之設備及廠務系統相關配管設計規畫及工程管理特殊氣體供應系統之代理、製造及安裝半導體設備所需之相關儀器及其材料、零配件等進出口銷售業務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
2353,宏碁,上市,電腦及週邊設備業,856.45億,,,0.62,,,從事資訊產品、軟體及維修服務之通路銷售,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3158,嘉實,上櫃,資訊服務業,27.16億,,,,,,資訊費收入其他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6035,悠遊卡,興櫃,金融保險業,37.1億,,,,,,電子支付業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
7722,LINEPAY,上市,數位雲端,191.08億,,,,,,第三方支付業務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
5904,寶雅,上櫃,居家生活,636.53億,,,,,,零售業(1)時尚美粧美材保養品(2)流行內衣襪零售業(3)生活日常用品(4)精緻個人用品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6182,合晶,上櫃,半導體業,300.38億,,,,,,半導體及其材料之研發、設計、製造、進出口及代理銷售等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6962,奕力-KY,上市,半導體業,172.34億,,,,,,研究、開發、設計、生產、製造及銷售1. 顯示器驅動IC2.觸控IC3.時序控制IC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
7705,三商餐飲,上市,觀光餐旅,21.5億,,,,,,連鎖餐飲之經營及相關產品銷售,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3014,聯陽,上市,半導體業,219.93億,,,,,,電腦週邊控制IC資訊家電相關IC液晶螢幕顯示器相關IC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6720,久昌,上櫃,半導體業,47.91億,,,,,,IC設計與銷售委託IC設計ASIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6757,台灣虎航,上市,航運業,230.68億,,,,,0.3,民用航空運輸業民用航空總代理業除許可業務外，得經營法令非禁止或限制之業務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
7794,宏碁智新,上櫃,居家生活,9.18億,,,,,,雲端科技軟硬體整合、智慧空氣品質解決方案、旅館與租賃管理服務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6996,力領科技,上櫃,半導體業,77.29億,,,,,,多樣化整合型的車用顯示器驅動晶片之研發、設計及銷售,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
8016,矽創,上市,半導體業,290.13億,,,,,,"各種積體電路之設計,製造,測試及銷售各種積體電路模組之設計,製造,測試及銷售各種積體電路應用軟體之研究,開發及銷售",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
8045,達運光電,上市,通信網路業,71.72億,,,,,,"有線電視頭端,光收發訊機,放大器,接頭,監測系統寬頻網路系統規劃,設計及安裝多媒體視訊設備",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
7704,明遠精密,上櫃,半導體業,20.73億,,,,,,半導體設備子系統技術服務半導體設備子系統銷售,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6997,博弘,上櫃,數位雲端,16.16億,,,,,,雲端服務管理顧問業資訊軟體零售業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
4749,新應材,上櫃,半導體業,936.6億,,,,,,電子材料批發業其他化學製品製造業資源回收業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
7747,昕奇雲端,上櫃,數位雲端,36.2億,,,,,,雲端服務網通資安,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6123,上奇,上櫃,資訊服務業,27.88億,,,,,,資訊專業軟、硬體銷售與服務數位印刷設備相關產品銷售與服務雲端託管及運營服務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6425,易發,上櫃,電機機械,41.86億,,,,,,高科技自動化設備設計、製造、銷售,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
7712,博盛半導體,上櫃,半導體業,38.42億,,,,,,功率半導體元件,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6811,宏碁資訊,上櫃,數位雲端,89.12億,,,,,,雲端服務、智慧物聯網、加值運用與開發及邊緣運算智慧載具平台即服務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3029,零壹,上市,資訊服務業,169.51億,,,,,,網路軟體.硬體產品之代理製造及開發。產品分類：1. 網路暨資訊安全、2. IT基礎架構、3. 雲平台與應用、4. 大數據與應用、5. 其他。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6690,安碁資訊,上櫃,數位雲端,50.55億,,,,,,資訊安全管理服務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6763,綠界科技,上櫃,數位雲端,88.25億,,,,,,第三方支付業務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6751,智聯服務,上櫃,資訊服務業,11.39億,,,,,,系統整合其他服務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6442,光聖,上市,通信網路業,"1,608.31億",,,,,,各種光纖及光纖連合器等之製造組立加工及買賣業務通訊光電介面產品及通信網路設備之加工裝配業務電子組件用精密金屬零件及電子產品之加工製造組立業務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
8454,富邦媒,上市,數位雲端,478.28億,,,,,,一般商品批發零售業無店面零售業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
